Nquest,Weight,City,State,Region,Age Group,Education Level,Socioeconomic Class,Income Group,Internet Access,Ethnicity,Marital Status,Sexual Orientation,Religion,Gender,Children,P1 Count,P1 Count Label
197779788,0.147688982,Rio Branco,Acre,Norte,60 +,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Undefined,Man,Children,5,Medium user (7-4)
197784548,0.255444576,Rio Branco,Acre,Norte,60 +,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,4,Medium user (7-4)
197794837,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,2,Low user (3-1)
197797199,0.462499724,Rio Branco,Acre,Norte,45 a 59,Elementary,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,White,Single,Heterosexual,Evangelical,Woman,Children,4,Medium user (7-4)
197836807,0.179340164,Rio Branco,Acre,Norte,16 a 24,Secondary,C1,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,7,Medium user (7-4)
197844170,0.253865449,Rio Branco,Acre,Norte,60 +,Higher Education,B2,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Mixed,Married,Heterosexual,Catholic,Man,Children,9,Heavy user (14-8)
197849665,0.286395712,Rio Branco,Acre,Norte,45 a 59,Higher Education,B2,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,0,No user (0)
197851901,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Other,Man,No children,10,Heavy user (14-8)
197855274,0.180455719,Rio Branco,Acre,Norte,16 a 24,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,No children,6,Medium user (7-4)
197858602,0.288177189,Rio Branco,Acre,Norte,45 a 59,Higher Education,B2,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,4,Medium user (7-4)
197914715,0.48560823,Rio Branco,Acre,Norte,25 a 34,Higher Education,B2,"From R$ 7,061.00 to R$ 14,120.00",Always connected,White,Married,Heterosexual,Evangelical,Woman,No children,7,Medium user (7-4)
197916925,0.148607656,Rio Branco,Acre,Norte,60 +,Secondary,B1,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,Mixed,Separated,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
197961167,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,10,Heavy user (14-8)
197963469,0.339166092,Rio Branco,Acre,Norte,35 a 44,Higher Education,C1,"From R$ 7,061.00 to R$ 14,120.00",Always connected,Mixed,Widowed,Heterosexual,Evangelical,Woman,Children,4,Medium user (7-4)
197982670,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Separated,Heterosexual,Evangelical,Man,Children,5,Medium user (7-4)
197984510,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,5,Medium user (7-4)
198006831,0.26966736,Rio Branco,Acre,Norte,16 a 24,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Single,Heterosexual,Undefined,Woman,No children,3,Low user (3-1)
198012191,0.286395712,Rio Branco,Acre,Norte,45 a 59,Higher Education,B2,"From R$ 4,237.00 to R$ 7,060.00",Sometimes connected,Mixed,Separated,Heterosexual,Evangelical,Man,Children,4,Medium user (7-4)
198093915,0.12460704,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Black,Single,Heterosexual,Atheist / No religion,Woman,Children,2,Low user (3-1)
198099921,0.009086381,Rio Branco,Acre,Norte,45 a 59,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Asian,Married,Heterosexual,Evangelical,Woman,Children,2,Low user (3-1)
198110206,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Never connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,2,Low user (3-1)
198112099,0.282507862,Rio Branco,Acre,Norte,25 a 34,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Married,Heterosexual,Evangelical,Woman,Children,5,Medium user (7-4)
198115159,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Married,Heterosexual,Spiritist | Kardecist,Woman,Children,4,Medium user (7-4)
198117243,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Separated,Heterosexual,Evangelical,Woman,Children,7,Medium user (7-4)
198148296,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,5,Medium user (7-4)
198148798,0.540967553,Rio Branco,Acre,Norte,35 a 44,Elementary,D/E,"Up to R$ 1,412.00",Almost always connected,White,Married,Heterosexual,Catholic,Man,Children,7,Medium user (7-4)
198150208,0.197759994,Rio Branco,Acre,Norte,45 a 59,Higher Education,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Single,Heterosexual,Catholic,Man,No children,4,Medium user (7-4)
198150239,0.167650209,Rio Branco,Acre,Norte,45 a 59,Secondary,C2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Widowed,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198151373,0.324958803,Rio Branco,Acre,Norte,25 a 34,Higher Education,C2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,No children,6,Medium user (7-4)
198156383,0.102615535,Rio Branco,Acre,Norte,60 +,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Separated,Heterosexual,Catholic,Woman,Children,7,Medium user (7-4)
198156659,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Married,LGBTQIAPN+,Evangelical,Man,Children,9,Heavy user (14-8)
198157191,0.362004096,Rio Branco,Acre,Norte,35 a 44,Elementary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Married,Heterosexual,Catholic,Man,Children,1,Low user (3-1)
198158947,0.288177189,Rio Branco,Acre,Norte,45 a 59,Higher Education,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Separated,Heterosexual,Catholic,Woman,Children,10,Heavy user (14-8)
198244426,0.282507862,Rio Branco,Acre,Norte,25 a 34,Secondary,C1,"Up to R$ 1,412.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
198245805,0.179340164,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Mixed,Single,Heterosexual,Afro-Brazilian,Man,No children,2,Low user (3-1)
198247263,0.503705939,Rio Branco,Acre,Norte,35 a 44,Higher Education,C2,"Up to R$ 1,412.00",Always connected,White,Single,Heterosexual,Evangelical,Man,Children,9,Heavy user (14-8)
198248420,0.482606259,Rio Branco,Acre,Norte,25 a 34,Higher Education,C2,"From R$ 7,061.00 to R$ 14,120.00",Always connected,White,Single,Heterosexual,Afro-Brazilian,Man,Children,7,Medium user (7-4)
198298893,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,No children,1,Low user (3-1)
198300986,0.310188828,Rio Branco,Acre,Norte,16 a 24,Higher Education,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Catholic,Woman,No children,6,Medium user (7-4)
198302460,0.427980759,Rio Branco,Acre,Norte,45 a 59,Higher Education,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Single,LGBTQIAPN+,Catholic,Man,No children,7,Medium user (7-4)
198308209,0.224388314,Rio Branco,Acre,Norte,25 a 34,Higher Education,C2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Separated,Heterosexual,Evangelical,Woman,Children,8,Heavy user (14-8)
198308457,0.294859184,Rio Branco,Acre,Norte,35 a 44,Secondary,C2,"Up to R$ 1,412.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,No children,4,Medium user (7-4)
198308458,0.179340164,Rio Branco,Acre,Norte,16 a 24,Secondary,C1,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Undefined,Man,No children,4,Medium user (7-4)
198309130,0.130540339,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"Up to R$ 1,412.00",Always connected,Black,Married,Heterosexual,Atheist / No religion,Woman,Children,1,Low user (3-1)
198310890,0.307581816,Rio Branco,Acre,Norte,45 a 59,Elementary,D/E,"Up to R$ 1,412.00",Never connected,Mixed,Single,Heterosexual,Atheist / No religion,Man,Children,0,No user (0)
198542136,0.346840148,Rio Branco,Acre,Norte,25 a 34,Elementary,C2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Separated,Heterosexual,Atheist / No religion,Man,Children,3,Low user (3-1)
198601775,0.307581816,Rio Branco,Acre,Norte,45 a 59,Elementary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Catholic,Man,Children,0,No user (0)
198603589,0.331075626,Rio Branco,Acre,Norte,16 a 24,Elementary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,Mixed,Single,Heterosexual,Atheist / No religion,Man,No children,0,No user (0)
198607284,0.250531208,Rio Branco,Acre,Norte,45 a 59,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,White,Married,Heterosexual,Evangelical,Woman,Children,3,Low user (3-1)
198611659,0.180455719,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,No children,5,Medium user (7-4)
198667012,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198672041,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,0,No user (0)
198854094,0.339166092,Rio Branco,Acre,Norte,35 a 44,Higher Education,C2,"Up to R$ 1,412.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198856048,0.272645129,Rio Branco,Acre,Norte,60 +,Elementary,C2,"Up to R$ 1,412.00",Never connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,2,Low user (3-1)
198858329,0.309495077,Rio Branco,Acre,Norte,45 a 59,Elementary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,0,No user (0)
198896579,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,C2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,5,Medium user (7-4)
198898722,0.26966736,Rio Branco,Acre,Norte,16 a 24,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,No children,7,Medium user (7-4)
198900490,0.115049025,Rio Branco,Acre,Norte,45 a 59,Secondary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Black,Separated,Heterosexual,Evangelical,Man,Children,4,Medium user (7-4)
198902282,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Separated,Heterosexual,Catholic,Man,Children,0,No user (0)
198904836,0.268000309,Rio Branco,Acre,Norte,16 a 24,Secondary,B2,"From R$ 4,237.00 to R$ 7,060.00",Always connected,White,Single,Heterosexual,Catholic,Man,Children,0,No user (0)
198908515,0.213710409,Rio Branco,Acre,Norte,45 a 59,Elementary,D/E,"Up to R$ 1,412.00",Never connected,Black,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
198910991,0.223001173,Rio Branco,Acre,Norte,25 a 34,Higher Education,B1,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Black,Single,Heterosexual,Evangelical,Man,No children,4,Medium user (7-4)
198943083,0.274341072,Rio Branco,Acre,Norte,60 +,Elementary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Separated,Heterosexual,Atheist / No religion,Woman,Children,3,Low user (3-1)
198945002,0.272645129,Rio Branco,Acre,Norte,60 +,Elementary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,Mixed,Married,Other,Catholic,Man,Children,0,No user (0)
199552296,0.129733354,Rio Branco,Acre,Norte,25 a 34,Secondary,B2,"From R$ 7,061.00 to R$ 14,120.00",Almost always connected,Black,Married,Heterosexual,Evangelical,Man,No children,1,Low user (3-1)
199553474,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Catholic,Woman,Children,2,Low user (3-1)
199555349,0.272645129,Rio Branco,Acre,Norte,60 +,Elementary,C2,"From R$ 2,825.00 to R$ 4,236.00",Never connected,Mixed,Married,Heterosexual,Catholic,Man,Children,0,No user (0)
199557560,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Married,Heterosexual,Catholic,Man,Children,4,Medium user (7-4)
199832680,0.310188828,Rio Branco,Acre,Norte,16 a 24,Higher Education,C1,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Single,Heterosexual,Evangelical,Woman,No children,7,Medium user (7-4)
199835584,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,D/E,"Up to R$ 1,412.00",Almost always connected,Mixed,Married,Heterosexual,Catholic,Woman,Children,1,Low user (3-1)
199913986,0.030973538,Rio Branco,Acre,Norte,25 a 34,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Indigenous,Married,Heterosexual,Evangelical,Woman,Children,12,Heavy user (14-8)
199915519,0.115049025,Rio Branco,Acre,Norte,45 a 59,Secondary,D/E,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Black,Married,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
199917039,0.250531208,Rio Branco,Acre,Norte,45 a 59,Secondary,D/E,"Up to R$ 1,412.00",Always connected,White,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
199918766,0.180455719,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Single,Heterosexual,Catholic,Woman,No children,11,Heavy user (14-8)
199920170,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,C1,"From R$ 4,237.00 to R$ 7,060.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,5,Medium user (7-4)
200638662,0.272645129,Rio Branco,Acre,Norte,60 +,Elementary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Married,Heterosexual,Catholic,Man,Children,11,Heavy user (14-8)
200640847,0.307581816,Rio Branco,Acre,Norte,45 a 59,Elementary,C2,"From R$ 7,061.00 to R$ 14,120.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,13,Heavy user (14-8)
200640879,0.234198634,Rio Branco,Acre,Norte,35 a 44,Higher Education,C2,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Black,Single,Heterosexual,Catholic,Woman,No children,10,Heavy user (14-8)
200712545,0.123836735,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Black,Single,LGBTQIAPN+,Evangelical,Man,No children,11,Heavy user (14-8)
200712778,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"From R$ 2,825.00 to R$ 4,236.00",Almost always connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,5,Medium user (7-4)
200715481,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,C1,"From R$ 14,121.00 to R$ 28,240.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,11,Heavy user (14-8)
200716719,0.180455719,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,No children,6,Medium user (7-4)
200718509,0.196093789,Rio Branco,Acre,Norte,35 a 44,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,Mixed,Single,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
200945643,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,D/E,"Up to R$ 1,412.00",Sometimes connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
200948149,0.167650209,Rio Branco,Acre,Norte,45 a 59,Secondary,C2,Don’t know,Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
200950695,0.48560823,Rio Branco,Acre,Norte,25 a 34,Higher Education,C2,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Married,Heterosexual,Catholic,Woman,No children,2,Low user (3-1)
200953363,0.018798197,Rio Branco,Acre,Norte,25 a 34,Elementary,D/E,"Up to R$ 1,412.00",Sometimes connected,Asian,Separated,Heterosexual,Undefined,Man,No children,0,No user (0)
200954647,0.180455719,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,No children,3,Low user (3-1)
200956152,0.059679419,Rio Branco,Acre,Norte,35 a 44,Elementary,D/E,"Up to R$ 1,412.00",Almost always connected,Indigenous,Single,LGBTQIAPN+,Catholic,Woman,No children,0,No user (0)
201049897,0.346840148,Rio Branco,Acre,Norte,25 a 34,Elementary,D/E,Don’t know,Always connected,Mixed,Separated,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
201051827,0.23949767,Rio Branco,Acre,Norte,25 a 34,Elementary,D/E,Don’t know,Sometimes connected,Black,Married,Heterosexual,Atheist / No religion,Man,Children,1,Low user (3-1)
201054514,0.346840148,Rio Branco,Acre,Norte,25 a 34,Elementary,D/E,Don’t know,Always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,1,Low user (3-1)
201055388,0.166613816,Rio Branco,Acre,Norte,45 a 59,Secondary,C1,"From R$ 7,061.00 to R$ 14,120.00",Sometimes connected,Mixed,Married,Heterosexual,Catholic,Man,Children,1,Low user (3-1)
201061879,0.147688982,Rio Branco,Acre,Norte,60 +,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,Mixed,Married,Heterosexual,Catholic,Man,Children,0,No user (0)
201068247,0.346840148,Rio Branco,Acre,Norte,25 a 34,Elementary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,2,Low user (3-1)
201069542,0.307581816,Rio Branco,Acre,Norte,45 a 59,Elementary,D/E,Don’t know,Never connected,Mixed,Married,Heterosexual,Catholic,Man,No children,0,No user (0)
201071965,0.272645129,Rio Branco,Acre,Norte,60 +,Elementary,D/E,"Up to R$ 1,412.00",Never connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,0,No user (0)
201071970,0.331075626,Rio Branco,Acre,Norte,16 a 24,Elementary,D/E,Don’t know,Always connected,Mixed,Single,Heterosexual,Evangelical,Man,No children,8,Heavy user (14-8)
201072080,0.280761433,Rio Branco,Acre,Norte,25 a 34,Secondary,C1,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,White,Married,Heterosexual,Evangelical,Man,No children,0,No user (0)
201073880,0.009780419,Rio Branco,Acre,Norte,16 a 24,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Asian,Single,LGBTQIAPN+,Catholic,Woman,No children,0,No user (0)
201076362,0.274341072,Rio Branco,Acre,Norte,60 +,Elementary,D/E,Don’t know,Sometimes connected,Mixed,Single,Heterosexual,Catholic,Woman,Children,1,Low user (3-1)
201077638,0.310188828,Rio Branco,Acre,Norte,16 a 24,Higher Education,C2,"Up to R$ 1,412.00",Always connected,Mixed,Single,LGBTQIAPN+,Undefined,Woman,No children,3,Low user (3-1)
201081300,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"Up to R$ 1,412.00",Always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
201084820,0.180455719,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,Don’t know,Almost always connected,Mixed,Single,Heterosexual,Catholic,Woman,No children,3,Low user (3-1)
201116728,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,B1,"From R$ 4,237.00 to R$ 7,060.00",Almost always connected,Mixed,Single,Heterosexual,Atheist / No religion,Woman,Children,2,Low user (3-1)
201117225,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"Up to R$ 1,412.00",Almost always connected,Mixed,Single,Heterosexual,Evangelical,Woman,Children,2,Low user (3-1)
201117866,0.280761433,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Sometimes connected,White,Single,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
201119278,0.309495077,Rio Branco,Acre,Norte,45 a 59,Elementary,C2,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Married,Heterosexual,Atheist / No religion,Woman,Children,9,Heavy user (14-8)
201122219,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,D/E,Don’t know,Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
201122269,0.189048313,Rio Branco,Acre,Norte,25 a 34,Secondary,D/E,"Up to R$ 1,412.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Woman,Children,1,Low user (3-1)
201122349,0.197313558,Rio Branco,Acre,Norte,35 a 44,Secondary,C1,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Separated,Heterosexual,Evangelical,Man,Children,7,Medium user (7-4)
201124535,0.331075626,Rio Branco,Acre,Norte,16 a 24,Elementary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,0,No user (0)
201124540,0.187879639,Rio Branco,Acre,Norte,25 a 34,Secondary,D/E,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Mixed,Married,Heterosexual,Evangelical,Man,Children,1,Low user (3-1)
201127361,0.130540339,Rio Branco,Acre,Norte,25 a 34,Secondary,C2,"From R$ 1,413.00 to R$ 2,824.00",Almost always connected,Black,Single,Heterosexual,Atheist / No religion,Woman,No children,0,No user (0)
201143025,0.506839157,Rio Branco,Acre,Norte,35 a 44,Higher Education,C1,"From R$ 1,413.00 to R$ 2,824.00",Always connected,White,Married,LGBTQIAPN+,Afro-Brazilian,Woman,No children,3,Low user (3-1)
201144718,0.009780419,Rio Branco,Acre,Norte,16 a 24,Secondary,B2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Asian,Single,LGBTQIAPN+,Evangelical,Other responses,No children,5,Medium user (7-4)
201144869,0.179340164,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,Don’t know,Always connected,Mixed,Single,LGBTQIAPN+,Evangelical,Man,No children,7,Medium user (7-4)
201147766,0.123836735,Rio Branco,Acre,Norte,16 a 24,Secondary,C2,"Up to R$ 1,412.00",Sometimes connected,Black,Single,Heterosexual,Evangelical,Man,No children,2,Low user (3-1)
201172733,0.307581816,Rio Branco,Acre,Norte,45 a 59,Elementary,C2,"From R$ 2,825.00 to R$ 4,236.00",Always connected,Mixed,Married,Heterosexual,Atheist / No religion,Man,Children,0,No user (0)
